frame,xmin,ymin,xmax,ymax,width,height,class_id,class_name
0,1287.778564453125,1473.58935546875,1342.153564453125,1579.771484375,54.375,106.18212890625,0.0,person
0,1194.998779296875,1435.10595703125,1254.354248046875,1625.0225830078125,59.35546875,189.9166259765625,0.0,person
1,1278.1512451171875,1473.76220703125,1335.880859375,1584.155029296875,57.7296142578125,110.392822265625,0.0,person
2,1266.2711181640625,1468.35205078125,1321.1734619140625,1582.521240234375,54.90234375,114.169189453125,0.0,person
2,2500.0712890625,1401.4365234375,2534.91259765625,1460.044921875,34.84130859375,58.6083984375,9.0,traffic light
3,1258.5439453125,1466.5771484375,1316.3807373046875,1582.581787109375,57.8367919921875,116.004638671875,0.0,person
3,771.5967407226562,1203.3712158203125,825.8572998046875,1281.25732421875,54.26055908203125,77.8861083984375,9.0,traffic light
4,1247.161376953125,1463.186279296875,1311.7447509765625,1582.94677734375,64.5833740234375,119.760498046875,0.0,person
5,1234.3604736328125,1468.0400390625,1297.6929931640625,1581.005126953125,63.33251953125,112.965087890625,3.0,motorcycle
6,1230.8671875,1457.9249267578125,1293.0648193359375,1581.7261962890625,62.1976318359375,123.80126953125,0.0,person
7,1217.5843505859375,1460.5548095703125,1265.2613525390625,1590.4088134765625,47.677001953125,129.85400390625,0.0,person
7,1225.45947265625,1456.8841552734375,1285.8160400390625,1587.6763916015625,60.3565673828125,130.792236328125,0.0,person
8,1209.1466064453125,1456.0367431640625,1275.017578125,1589.9241943359375,65.8709716796875,133.887451171875,0.0,person
9,1197.7347412109375,1451.985107421875,1270.3067626953125,1587.6842041015625,72.572021484375,135.6990966796875,0.0,person
10,1190.522216796875,1452.4566650390625,1262.204345703125,1590.5284423828125,71.68212890625,138.07177734375,0.0,person
11,1184.3416748046875,1444.7838134765625,1252.38037109375,1592.6209716796875,68.0386962890625,147.837158203125,0.0,person
11,1209.755126953125,1445.7987060546875,1253.2166748046875,1529.305419921875,43.4615478515625,83.5067138671875,0.0,person
12,1172.16357421875,1445.6561279296875,1239.78076171875,1595.89306640625,67.6171875,150.2369384765625,0.0,person
12,1203.55126953125,1446.8209228515625,1240.868408203125,1567.206298828125,37.317138671875,120.3853759765625,0.0,person
13,1159.406005859375,1465.465576171875,1211.80712890625,1596.126708984375,52.401123046875,130.6611328125,0.0,person
14,1150.6759033203125,1477.5169677734375,1186.1705322265625,1593.9921875,35.49462890625,116.4752197265625,0.0,person
15,1582.131591796875,652.9331665039062,1647.303955078125,778.2626953125,65.17236328125,125.32952880859375,9.0,traffic light
16,1035.9136962890625,1080.00439453125,1136.37451171875,1250.6466064453125,100.4608154296875,170.6422119140625,9.0,traffic light
19,3219.75830078125,1116.94189453125,3252.892333984375,1207.0045166015625,33.134033203125,90.0626220703125,9.0,traffic light
20,504.8258972167969,1388.0709228515625,583.0867919921875,1455.492919921875,78.26089477539062,67.4219970703125,0.0,person
20,491.2341613769531,1391.9085693359375,535.4063110351562,1448.86376953125,44.172149658203125,56.9552001953125,0.0,person
21,1929.7789306640625,1268.59423828125,1960.9749755859375,1308.2244873046875,31.196044921875,39.6302490234375,9.0,traffic light
22,1042.4959716796875,1444.0325927734375,1124.6092529296875,1615.474365234375,82.11328125,171.4417724609375,0.0,person
22,3309.593994140625,1087.00927734375,3347.814697265625,1183.1895751953125,38.220703125,96.1802978515625,9.0,traffic light
22,2758.223876953125,835.7528686523438,2837.640380859375,906.1279907226562,79.41650390625,70.3751220703125,9.0,traffic light
22,1925.3609619140625,1267.9945068359375,1961.8421630859375,1309.1654052734375,36.481201171875,41.1708984375,9.0,traffic light
23,1024.7923583984375,1443.0396728515625,1115.7921142578125,1613.8192138671875,90.999755859375,170.779541015625,0.0,person
23,1919.9150390625,1268.2379150390625,1962.533203125,1310.577392578125,42.6181640625,42.3394775390625,9.0,traffic light
24,1002.6384887695312,1471.537109375,1084.9915771484375,1623.1484375,82.35308837890625,151.611328125,0.0,person
24,3375.362060546875,1065.7734375,3414.5107421875,1168.8585205078125,39.148681640625,103.0850830078125,9.0,traffic light
24,1923.683837890625,1266.3331298828125,1961.5321044921875,1309.5435791015625,37.8482666015625,43.21044921875,9.0,traffic light
25,987.8569946289062,1440.175048828125,1076.5889892578125,1630.9134521484375,88.73199462890625,190.7384033203125,0.0,person
25,3411.371337890625,1056.1929931640625,3452.38037109375,1166.9432373046875,41.009033203125,110.750244140625,9.0,traffic light
25,977.3959350585938,1419.7188720703125,1018.6785278320312,1537.0184326171875,41.2825927734375,117.299560546875,0.0,person
26,973.354248046875,1429.2103271484375,1076.074951171875,1632.2156982421875,102.720703125,203.00537109375,0.0,person
26,3446.9794921875,1043.298828125,3491.24853515625,1161.8153076171875,44.26904296875,118.5164794921875,9.0,traffic light
26,967.032958984375,1416.556396484375,1016.3910522460938,1542.9903564453125,49.35809326171875,126.4339599609375,0.0,person
26,2847.3359375,767.1104736328125,2934.96142578125,843.078369140625,87.62548828125,75.9678955078125,9.0,traffic light
27,3483.849609375,1031.2838134765625,3531.065185546875,1153.366455078125,47.215576171875,122.0826416015625,9.0,traffic light
27,962.217041015625,1431.6605224609375,1057.09033203125,1638.763916015625,94.873291015625,207.1033935546875,0.0,person
27,544.836181640625,1047.8653564453125,622.650146484375,1166.9044189453125,77.81396484375,119.0390625,9.0,traffic light
28,942.8631591796875,1469.898193359375,1018.1372680664062,1641.878173828125,75.27410888671875,171.97998046875,0.0,person
28,3522.060791015625,1020.6881103515625,3572.297607421875,1142.952392578125,50.23681640625,122.2642822265625,9.0,traffic light
28,1009.5889892578125,1424.6510009765625,1056.6708984375,1527.7869873046875,47.0819091796875,103.135986328125,0.0,person
29,3564.455810546875,1007.7822875976562,3617.855224609375,1137.4571533203125,53.3994140625,129.67486572265625,9.0,traffic light
29,940.3018798828125,1419.3734130859375,1012.87353515625,1606.59375,72.5716552734375,187.2203369140625,0.0,person
29,923.5045166015625,1511.3060302734375,995.4664306640625,1647.8565673828125,71.9619140625,136.550537109375,1.0,bicycle
29,1246.11328125,1250.853515625,1280.1837158203125,1334.8958740234375,34.0704345703125,84.0423583984375,9.0,traffic light
29,992.3668212890625,1420.2108154296875,1039.7149658203125,1527.44140625,47.34814453125,107.2305908203125,0.0,person
29,968.386962890625,1021.0075073242188,1006.1041259765625,1082.4462890625,37.7171630859375,61.43878173828125,9.0,traffic light
29,1930.5008544921875,1258.6319580078125,1968.7713623046875,1304.5496826171875,38.2705078125,45.917724609375,9.0,traffic light
30,3606.690673828125,995.7601318359375,3664.043701171875,1125.97705078125,57.35302734375,130.2169189453125,9.0,traffic light
30,926.64208984375,1420.741455078125,1013.6783447265625,1602.2498779296875,87.0362548828125,181.5084228515625,0.0,person
30,909.4603271484375,1516.70361328125,975.0201416015625,1651.292724609375,65.559814453125,134.589111328125,1.0,bicycle
31,900.1937255859375,1415.8948974609375,1000.97607421875,1621.4117431640625,100.7823486328125,205.516845703125,0.0,person
31,3650.75537109375,977.4811401367188,3719.340087890625,1115.808349609375,68.584716796875,138.32720947265625,9.0,traffic light
31,901.2130737304688,1516.750244140625,955.6528930664062,1655.457763671875,54.4398193359375,138.70751953125,1.0,bicycle
32,881.3115844726562,1413.3433837890625,988.8345947265625,1621.150634765625,107.52301025390625,207.8072509765625,0.0,person
32,3699.76611328125,963.5634155273438,3777.642333984375,1104.3526611328125,77.876220703125,140.78924560546875,9.0,traffic light
32,874.1256103515625,1501.4503173828125,947.4177856445312,1658.84375,73.29217529296875,157.3934326171875,1.0,bicycle
33,860.18798828125,1408.995849609375,970.3936767578125,1629.8529052734375,110.2056884765625,220.8570556640625,0.0,person
33,3748.807861328125,949.915283203125,3823.252685546875,1091.439697265625,74.44482421875,141.5244140625,9.0,traffic light
33,859.3406982421875,1504.4488525390625,930.7437744140625,1664.6243896484375,71.403076171875,160.175537109375,1.0,bicycle
34,837.6705322265625,1403.497802734375,948.7188720703125,1630.5296630859375,111.04833984375,227.0318603515625,0.0,person
34,3801.98681640625,927.59326171875,3838.50244140625,1086.2930908203125,36.515625,158.6998291015625,9.0,traffic light
34,829.8308715820312,1503.445068359375,916.5371704101562,1671.3231201171875,86.706298828125,167.8780517578125,3.0,motorcycle
34,559.6534423828125,1204.5452880859375,614.9476318359375,1365.2354736328125,55.294189453125,160.690185546875,9.0,traffic light
35,811.1255493164062,1402.609130859375,934.1306762695312,1636.417236328125,123.005126953125,233.80810546875,0.0,person
35,810.1234130859375,1498.679443359375,893.4591064453125,1677.29736328125,83.335693359375,178.617919921875,1.0,bicycle
36,785.8260498046875,1397.067626953125,913.7003173828125,1650.142822265625,127.874267578125,253.0751953125,0.0,person
36,778.86865234375,1481.215576171875,879.4786987304688,1682.79052734375,100.61004638671875,201.574951171875,3.0,motorcycle
37,760.591064453125,1393.5648193359375,889.2801513671875,1653.1142578125,128.6890869140625,259.5494384765625,0.0,person
37,754.7385864257812,1481.65283203125,866.3009033203125,1688.82275390625,111.56231689453125,207.169921875,3.0,motorcycle
37,860.6282958984375,967.1782836914062,924.6344604492188,1034.79541015625,64.00616455078125,67.61712646484375,9.0,traffic light
38,727.9149780273438,1407.95947265625,855.5162353515625,1689.7210693359375,127.60125732421875,281.7615966796875,0.0,person
38,727.0592651367188,1507.14111328125,804.510498046875,1698.4193115234375,77.45123291015625,191.2781982421875,3.0,motorcycle
39,694.2501220703125,1384.015869140625,830.8524169921875,1709.31005859375,136.602294921875,325.294189453125,0.0,person
40,636.96337890625,1378.7703857421875,800.2299194335938,1676.6478271484375,163.26654052734375,297.87744140625,0.0,person
40,689.0377807617188,1380.86865234375,798.4685668945312,1676.3203125,109.4307861328125,295.45166015625,0.0,person
41,619.4231567382812,1373.8480224609375,768.4179077148438,1687.63916015625,148.9947509765625,313.7911376953125,0.0,person
41,626.2611694335938,1484.04345703125,744.3133544921875,1727.20751953125,118.05218505859375,243.1640625,3.0,motorcycle
41,807.9706420898438,954.5875854492188,869.6420288085938,1036.90283203125,61.67138671875,82.31524658203125,9.0,traffic light
42,581.4699096679688,1371.74462890625,732.7547607421875,1680.7373046875,151.28485107421875,308.99267578125,0.0,person
42,792.4989624023438,952.4638061523438,855.9210205078125,1034.1898193359375,63.42205810546875,81.72601318359375,9.0,traffic light
42,577.15576171875,1484.6246337890625,712.0325317382812,1737.1951904296875,134.87677001953125,252.570556640625,3.0,motorcycle
43,533.146240234375,1365.7188720703125,695.574462890625,1683.3695068359375,162.42822265625,317.650634765625,0.0,person
43,525.4132690429688,1489.763671875,682.1193237304688,1745.0343017578125,156.7060546875,255.2706298828125,3.0,motorcycle
43,684.0328369140625,905.7982177734375,832.6361083984375,979.6300048828125,148.603271484375,73.831787109375,9.0,traffic light
